housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
21.16177165332299,20.573278310306584,12.351267123451631,18.225103963157753,13.414376238539942,1.3964343490840752,<1H OCEAN
13.252256939261265,20.056589473803328,13.470774046596802,17.20795565333923,14.252674483579762,1.1853639896538057,NEAR OCEAN
15.444735279088695,18.439285612788645,11.128072812545033,15.697992461894167,11.973468595577385,1.4064089151268215,NEAR OCEAN
9.802497571264706,15.250004903506214,9.13498610446614,11.978679565435424,9.41610220477586,1.2323386840341821,INLAND
29.380774421156165,22.187219419041103,14.615140833080696,19.44084085162873,15.580300811847414,1.2676146377657453,NEAR BAY
7.980827650907333,30.47770678578459,19.601084679686473,26.675933030937546,21.079182087548457,1.3890504209505847,NEAR OCEAN
17.570626505468528,18.458147162391047,12.559676838721046,16.830894625796702,13.172821122579101,1.0922104958410022,NEAR OCEAN
20.150632231241854,15.786007617474457,10.375476052015244,16.275528705695237,10.87546312239653,1.1668271106248709,<1H OCEAN
29.380774421156165,19.086123368399424,13.478133811421147,16.122746274931398,14.172394512959992,1.3740210662184724,NEAR BAY
4.725720963254659,24.78147717629915,15.743200537988736,23.516847834178275,16.648497711435763,1.3704731728139057,INLAND
24.133441293341143,17.26329179376166,11.329384097222174,19.473418994639527,12.44977269451991,1.2144411199884773,<1H OCEAN
8.596829717264344,17.98605390587012,11.945128558207866,20.072925834436823,12.976013945148075,0.8406503154208008,INLAND
23.64413960098605,15.260707407846077,9.193626648744793,12.808729957657581,9.508560786414078,1.1705452822665279,INLAND
23.64413960098605,18.237832248784063,10.787984717951742,15.289289501749998,11.667560120385877,1.2713048769439366,NEAR BAY
13.252256939261265,23.19356014694805,14.093954074866724,20.882879398326118,15.161866916006774,1.5627511959980427,<1H OCEAN
25.10541571855597,18.31211234713579,11.924874984087895,16.48110847280758,12.571326246254218,0.9446472114730288,INLAND
22.658582011713033,19.538236631402466,11.81185778766595,16.098905136843552,12.713575806454735,1.3497905078186756,INLAND
